model,dataset,demographics,auc,iteration,metric
model2vecdk-stem,welfare,3,0.19650338589124575,0,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,4,0.1427839716994722,0,spearman
Qwen3-Embedding-Scandi-0.6B,rai,Unknown,0.18742740157887872,0,spearman
static-similarity-mrl-multilingual-v1,rai,Kvinde,0.12405795795974632,0,spearman
M2V_base_glove,rai,Mand,0.1134568716898895,0,spearman
nb-sbert-base,rai,Mand,0.22605267013673871,0,spearman
multilingual-e5-small,welfare,4,0.16303024510782815,0,spearman
paraphrase-multilingual-mpnet-base-v2,rai,Mand,0.23139146212075848,0,spearman
EmbeddingGemma-Scandi-300m,welfare,3,0.299198337650852,0,spearman
multilingual-e5-base,welfare,11,0.20499647950344704,0,spearman
M2V_base_glove_subword,welfare,1,0.09125565487627117,0,spearman
EmbeddingGemma-Scandi-300m,welfare,2,0.26045740631505915,0,spearman
snowflake-arctic-embed-l-v2.0,welfare,4,0.22947723678846085,0,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,2,0.23949196543919266,0,spearman
text-embedding-3-large,rai,Kvinde,0.22502524116480765,0,spearman
multilingual-e5-large,welfare,4,0.20528107606392557,0,spearman
M2V_base_glove,rai,Kvinde,0.11070678284619363,0,spearman
potion-base-8M,welfare,2,0.06847829889583897,0,spearman
M2V_base_output,rai,Unknown,0.05681453209857253,0,spearman
potion-base-2M,welfare,1,0.11217075459331749,0,spearman
m2v-dfm-large,welfare,11,0.23175561392868255,0,spearman
potion-base-2M,welfare,11,0.15410813183031813,0,spearman
LaBSE,rai,Kvinde,0.17161196744955057,0,spearman
multilingual-e5-small,rai,Kvinde,0.19541921790472092,0,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,3,0.13955377540657374,0,spearman
potion-base-2M,rai,Unknown,0.11036905789953418,0,spearman
multilingual-e5-small,welfare,2,0.16737004185252982,0,spearman
dfm-sentence-encoder-large,welfare,3,0.14927814395871006,0,spearman
multilingual-e5-large-instruct,welfare,4,0.20534812425505775,0,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Mand,0.19773013312220727,0,spearman
mmBERTscandi-base-embedding,welfare,2,0.14835902643427604,0,spearman
mxbai-embed-large-v1,rai,Kvinde,0.11900229092228551,0,spearman
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,0.2521661838997323,0,spearman
model2vecdk,welfare,4,0.2523576506418997,0,spearman
multilingual-e5-large,welfare,1,0.23171691339031905,0,spearman
multilingual-e5-large-instruct,welfare,1,0.28495602176719553,0,spearman
xlm-roberta-base,rai,Kvinde,0.14666124789874,0,spearman
potion-base-4M,welfare,1,0.1137610840494954,0,spearman
multilingual-e5-large-instruct,rai,Mand,0.2107388238368337,0,spearman
potion-base-4M,rai,Kvinde,0.09505580164292651,0,spearman
mxbai-embed-large-v1,welfare,2,0.08972504572654943,0,spearman
Qwen3-Embedding-0.6B,rai,Unknown,0.09744345629171207,0,spearman
nb-sbert-base,welfare,3,0.23562676891831055,0,spearman
multilingual-e5-large,welfare,11,0.22282947326728095,0,spearman
snowflake-arctic-embed-l-v2.0,welfare,2,0.24857407954013078,0,spearman
model2vecdk,welfare,11,0.3027132440641018,0,spearman
text-embedding-3-large,welfare,2,0.21089956374201901,0,spearman
model2vecdk,welfare,3,0.24689824016951434,0,spearman
text-embedding-3-small,welfare,4,0.27957452331247734,0,spearman
model2vecdk,rai,Unknown,0.20924026934160064,0,spearman
M2V_base_glove_subword,welfare,4,0.14004638080032636,0,spearman
M2V_base_glove_subword,rai,Unknown,0.1149964176124976,0,spearman
potion-base-4M,rai,Mand,0.11917824893679305,0,spearman
nb-sbert-base,welfare,4,0.246003683544855,0,spearman
potion-multilingual-128M,welfare,1,0.23301687250760275,0,spearman
Qwen3-Embedding-0.6B,welfare,3,0.040257384396996714,0,spearman
M2V_base_glove,welfare,11,0.07404800444466414,0,spearman
multilingual-e5-large,welfare,3,0.21079922142863183,0,spearman
M2V_base_glove_subword,rai,Kvinde,0.11247041908157737,0,spearman
potion-base-4M,welfare,11,0.16114389196220522,0,spearman
text-embedding-3-large,welfare,11,0.2801876285274093,0,spearman
M2V_base_output,rai,Kvinde,0.10637162108108808,0,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,3,0.3055077992037495,0,spearman
mmBERTscandi-base-embedding,rai,Mand,0.15255862910835033,0,spearman
M2V_base_output,welfare,4,0.15662435214801182,0,spearman
text-embedding-3-large,rai,Mand,0.22933780091584596,0,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,2,0.11740510052779844,0,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,4,0.3143609611243385,0,spearman
potion-multilingual-128M,welfare,3,0.2249169125139287,0,spearman
xlm-roberta-large,rai,Mand,0.11445601730608344,0,spearman
snowflake-arctic-embed-l-v2.0,rai,Kvinde,0.21466733694480028,0,spearman
text-embedding-3-small,welfare,3,0.2562050917738959,0,spearman
model2vecdk,welfare,2,0.21135130282972311,0,spearman
LaBSE,welfare,4,0.210569020533337,0,spearman
potion-multilingual-128M,rai,Kvinde,0.1599193966668911,0,spearman
text-embedding-3-small,welfare,2,0.24307125673387872,0,spearman
xlm-roberta-large,welfare,11,0.1335111683786631,0,spearman
m2v-dfm-large,rai,Kvinde,0.19540951918349025,0,spearman
multilingual-e5-small,rai,Unknown,0.18813409067420078,0,spearman
multilingual-e5-large-instruct,rai,Unknown,0.26692499610240655,0,spearman
EmbeddingGemma-Scandi-300m,welfare,4,0.27408303346872964,0,spearman
LaBSE,rai,Unknown,0.1813664352754717,0,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,1,0.3399648637856119,0,spearman
Qwen3-Embedding-Scandi-0.6B,rai,Mand,0.13228438538553877,0,spearman
multilingual-e5-base,welfare,2,0.19203318379856657,0,spearman
nb-sbert-base,rai,Kvinde,0.21836157274249599,0,spearman
multilingual-e5-base,rai,Unknown,0.2009422320651495,0,spearman
Qwen3-Embedding-0.6B,rai,Kvinde,0.04857447009073776,0,spearman
xlm-roberta-base,rai,Mand,0.13747667145314124,0,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,11,0.32548830352061964,0,spearman
M2V_base_glove_subword,rai,Mand,0.12811940768799326,0,spearman
dfm-sentence-encoder-large,rai,Kvinde,0.18021774718823072,0,spearman
dfm-sentence-encoder-large,welfare,1,0.17651502868155186,0,spearman
model2vecdk-stem,rai,Kvinde,0.18964905123841524,0,spearman
text-embedding-3-large,welfare,3,0.24661642392596828,0,spearman
model2vecdk,welfare,1,0.24155703854361713,0,spearman
M2V_base_glove,welfare,3,0.07903008107351238,0,spearman
potion-base-8M,rai,Mand,0.12640110818966344,0,spearman
m2v-dfm-large,rai,Mand,0.20557133007035008,0,spearman
EmbeddingGemma-Scandi-300m,welfare,1,0.2732058623525395,0,spearman
multilingual-e5-large,rai,Kvinde,0.20152511189360112,0,spearman
m2v-dfm-large,rai,Unknown,0.22030719234446905,0,spearman
M2V_base_output,welfare,3,0.10293983821967062,0,spearman
xlm-roberta-large,welfare,3,0.11949622279643804,0,spearman
model2vecdk-stem,welfare,2,0.1404729098613438,0,spearman
mxbai-embed-large-v1,welfare,3,0.11951761595119796,0,spearman
text-embedding-3-small,rai,Unknown,0.2013488916228296,0,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,1,0.1280504404895092,0,spearman
snowflake-arctic-embed-l-v2.0,rai,Unknown,0.18091460188395958,0,spearman
Qwen3-Embedding-0.6B,rai,Mand,0.019432717394487695,0,spearman
LaBSE,welfare,3,0.22023897800602024,0,spearman
text-embedding-3-small,welfare,1,0.2893487148011857,0,spearman
text-embedding-ada-002,rai,Kvinde,0.20182094247708945,0,spearman
potion-base-4M,welfare,4,0.16915132356269538,0,spearman
M2V_base_glove,welfare,2,0.008010898576807467,0,spearman
Qwen3-Embedding-Scandi-0.6B,rai,Kvinde,0.1530441216826615,0,spearman
snowflake-arctic-embed-l-v2.0,welfare,3,0.23592851168974022,0,spearman
M2V_base_output,welfare,1,0.09468044350235512,0,spearman
potion-base-2M,rai,Kvinde,0.094367056482929,0,spearman
multilingual-e5-small,welfare,11,0.1911310048256093,0,spearman
mxbai-embed-large-v1,rai,Unknown,0.17598200107121215,0,spearman
potion-base-2M,rai,Mand,0.11857610492294535,0,spearman
xlm-roberta-large,welfare,1,0.08744979993180241,0,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,11,0.16545113507238746,0,spearman
xlm-roberta-large,welfare,4,0.15199225027513932,0,spearman
xlm-roberta-large,rai,Kvinde,0.11718242996599194,0,spearman
multilingual-e5-small,welfare,1,0.19726437541154748,0,spearman
mxbai-embed-large-v1,welfare,1,0.11042765167575783,0,spearman
static-similarity-mrl-multilingual-v1,welfare,2,0.16983710779809844,0,spearman
multilingual-e5-large-instruct,welfare,2,0.2374980659778314,0,spearman
bge-m3,welfare,2,0.23545570403922514,0,spearman
text-embedding-3-large,rai,Unknown,0.25693916598724026,0,spearman
paraphrase-multilingual-mpnet-base-v2,rai,Kvinde,0.2556371113283232,0,spearman
Qwen3-Embedding-0.6B,welfare,11,0.07871597841421325,0,spearman
xlm-roberta-large,welfare,2,0.03959821780048949,0,spearman
EmbeddingGemma-Scandi-300m,rai,Unknown,0.1461602112621645,0,spearman
static-similarity-mrl-multilingual-v1,welfare,3,0.18438122840340457,0,spearman
m2v-dfm-large,welfare,3,0.19242646736825667,0,spearman
dfm-sentence-encoder-large,rai,Mand,0.17924453202075555,0,spearman
xlm-roberta-large,rai,Unknown,0.13502717566581426,0,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,2,0.2542692673298,0,spearman
mmBERTscandi-base-embedding,welfare,3,0.16890066143523208,0,spearman
potion-multilingual-128M,welfare,2,0.17495249065435195,0,spearman
snowflake-arctic-embed-l-v2.0,welfare,11,0.2471379839603896,0,spearman
mmBERTscandi-base-embedding,welfare,11,0.2117089245676668,0,spearman
model2vecdk-stem,welfare,4,0.18329087689156548,0,spearman
multilingual-e5-large-instruct,welfare,3,0.25985741208931673,0,spearman
xlm-roberta-base,welfare,2,0.04173830663357712,0,spearman
bge-m3,rai,Unknown,0.2331834564438756,0,spearman
nb-sbert-base,welfare,11,0.27954429002528436,0,spearman
model2vecdk-stem,rai,Unknown,0.18611613905846552,0,spearman
M2V_base_glove,rai,Unknown,0.07313516244746222,0,spearman
static-similarity-mrl-multilingual-v1,welfare,11,0.16866632061738607,0,spearman
dfm-sentence-encoder-large,welfare,4,0.195789551367779,0,spearman
potion-multilingual-128M,welfare,11,0.267029162336139,0,spearman
potion-base-2M,welfare,2,0.06169766753415755,0,spearman
model2vecdk-stem,rai,Mand,0.17591294363968515,0,spearman
model2vecdk-stem,welfare,11,0.23145634805561097,0,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,1,0.2866840130550893,0,spearman
multilingual-e5-large,rai,Mand,0.18414674277089202,0,spearman
Qwen3-Embedding-0.6B,welfare,1,0.08099117534376438,0,spearman
potion-base-8M,rai,Kvinde,0.09885250431281677,0,spearman
text-embedding-ada-002,welfare,3,0.22101309692133347,0,spearman
potion-base-8M,welfare,3,0.11260733808492683,0,spearman
EmbeddingGemma-Scandi-300m,rai,Mand,0.18398563069154414,0,spearman
multilingual-e5-base,welfare,3,0.19911880874273458,0,spearman
dfm-sentence-encoder-large,rai,Unknown,0.225531718383025,0,spearman
multilingual-e5-large,rai,Unknown,0.22966959772010226,0,spearman
bge-m3,welfare,3,0.20242423997599246,0,spearman
multilingual-e5-small,rai,Mand,0.18561760709422734,0,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,4,0.29483752357018206,0,spearman
text-embedding-3-small,welfare,11,0.28436213052454,0,spearman
potion-base-8M,welfare,1,0.12812139747493614,0,spearman
nb-sbert-base,welfare,2,0.2497975361090953,0,spearman
mmBERTscandi-base-embedding,rai,Unknown,0.20244816071222516,0,spearman
model2vecdk-stem,welfare,1,0.17871800248640604,0,spearman
M2V_base_glove_subword,welfare,2,0.03413861449378078,0,spearman
bge-m3,rai,Mand,0.20448634263042376,0,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,11,0.29568626958393757,0,spearman
M2V_base_glove,welfare,1,0.07151340596693563,0,spearman
mmBERTscandi-base-embedding,rai,Kvinde,0.1651973735011141,0,spearman
potion-multilingual-128M,welfare,4,0.2586869457378535,0,spearman
multilingual-e5-base,welfare,1,0.19670680226924242,0,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,0.20374264952368915,0,spearman
EmbeddingGemma-Scandi-300m,welfare,11,0.3237509945058598,0,spearman
mxbai-embed-large-v1,welfare,4,0.1373763506167892,0,spearman
text-embedding-ada-002,rai,Unknown,0.2252352768685901,0,spearman
