dataset,seed,model,v_measure,adjusted_rand_index
rai,18,EmbeddingGemma-Scandi-300m,0.6289611249756797,0.09146197489054246
rai,18,LaBSE,0.6448614349407891,0.10899136129921319
rai,18,M2V_base_glove,0.5321635510186834,-0.022384458662472746
rai,18,M2V_base_glove_subword,0.5155892881941071,-0.030831875526153955
rai,18,M2V_base_output,0.5299956109823022,-0.055611771210398384
rai,18,Qwen3-Embedding-0.6B,0.6254786813030158,0.09952952712782048
rai,18,Qwen3-Embedding-Scandi-0.6B,0.5976851122101579,0.03419325242358211
rai,18,bge-m3,0.6598722340894965,0.151186324048276
rai,18,dfm-sentence-encoder-large,0.6318005252496595,0.10662893024298879
rai,18,jaccard-binary,0.5490312741412089,0.00840353694869514
rai,18,m2v-dfm-large,0.5471013542294149,-0.04449760765550239
rai,18,mmBERTscandi-base-embedding,0.6557641923584145,0.189484787919165
rai,18,model2vecdk,0.6082908948275103,0.0490835271978307
rai,18,model2vecdk-stem,0.637972314505266,0.14841802192758263
rai,18,multilingual-e5-base,0.5474761528384947,-0.046411483253588515
rai,18,multilingual-e5-large,0.5299956109823022,-0.055611771210398384
rai,18,multilingual-e5-large-instruct,0.6853185627190015,0.1942543956448172
rai,18,multilingual-e5-small,0.6735254813154814,0.1679425837320574
rai,18,mxbai-embed-large-v1,0.5667740030963413,-0.02553109673415143
rai,18,nb-sbert-base,0.5976851122101579,0.03419325242358211
rai,18,paraphrase-multilingual-MiniLM-L12-v2,0.5384890275561405,-0.046411483253588515
rai,18,paraphrase-multilingual-mpnet-base-v2,0.6289611249756797,0.09146197489054246
rai,18,potion-base-2M,0.5667740030963413,-0.02553109673415143
rai,18,potion-base-4M,0.5002252207326312,-0.07198770418558101
rai,18,potion-base-8M,0.5167585863003631,-0.041298037849761986
rai,18,potion-multilingual-128M,0.6816369114659302,0.2529756626782529
rai,18,snowflake-arctic-embed-l-v2.0,0.644861434940789,0.10899136129921319
rai,18,static-similarity-mrl-multilingual-v1,0.5245893320349235,-0.0033193869273790717
rai,18,text-embedding-3-large,0.6019037422844268,0.060765550239234446
rai,18,text-embedding-3-small,0.5384890275561405,-0.046411483253588515
rai,18,text-embedding-ada-002,0.5384890275561405,-0.046411483253588515
rai,18,tfidf-char35,0.6243124068217899,0.06546261556193138
rai,18,xlm-roberta-base,0.5163503463033925,-0.04024149541390921
rai,18,xlm-roberta-large,0.5829007768230703,0.04697920460448149
rai,28,EmbeddingGemma-Scandi-300m,0.7664834528299438,0.42488262910798125
rai,28,LaBSE,0.5404652623513684,-0.008771929824561403
rai,28,M2V_base_glove,0.5106410088873115,-0.012861736334405145
rai,28,M2V_base_glove_subword,0.39641758199607696,-0.1187214611872146
rai,28,M2V_base_output,0.4595882252588874,-0.07001972386587771
rai,28,Qwen3-Embedding-0.6B,0.6325692046573768,0.16145833333333331
rai,28,Qwen3-Embedding-Scandi-0.6B,0.5838604614940748,0.06666666666666667
rai,28,bge-m3,0.5120848243220616,-0.015917602996254682
rai,28,dfm-sentence-encoder-large,0.5376062876709086,0.0557006092254134
rai,28,jaccard-binary,0.5041451729040073,0.013389711064129669
rai,28,m2v-dfm-large,0.606777350296543,0.09208819714656291
rai,28,mmBERTscandi-base-embedding,0.5246835056060619,0.0091324200913242
rai,28,model2vecdk,0.5239044505023399,-0.026995305164319246
rai,28,model2vecdk-stem,0.5773200759268993,0.08854166666666667
rai,28,multilingual-e5-base,0.4685688119357049,-0.0547945205479452
rai,28,multilingual-e5-large,0.5283530370314158,-0.012861736334405145
rai,28,multilingual-e5-large-instruct,0.6738319470552214,0.2736705577172503
rai,28,multilingual-e5-small,0.5193444971265677,0.004065040650406505
rai,28,mxbai-embed-large-v1,0.5770077753892626,0.05516431924882629
rai,28,nb-sbert-base,0.6595280448140057,0.19791666666666666
rai,28,paraphrase-multilingual-MiniLM-L12-v2,0.6050503308862348,0.125
rai,28,paraphrase-multilingual-mpnet-base-v2,0.6595280448140057,0.19791666666666666
rai,28,potion-base-2M,0.48758677143426155,-0.03550295857988166
rai,28,potion-base-4M,0.4685688119357049,-0.0547945205479452
rai,28,potion-base-8M,0.48758677143426155,-0.03550295857988166
rai,28,potion-multilingual-128M,0.6850206685732605,0.22827496757457846
rai,28,snowflake-arctic-embed-l-v2.0,0.6089635856774347,0.09967845659163987
rai,28,static-similarity-mrl-multilingual-v1,0.4749525074043242,-0.01127554615926709
rai,28,text-embedding-3-large,0.6652987347737802,0.2543859649122807
rai,28,text-embedding-3-small,0.5664588492213374,0.03508771929824561
rai,28,text-embedding-ada-002,0.5401390252429505,0.01685393258426966
rai,28,tfidf-char35,0.6587695287003934,0.18287937743190663
rai,28,xlm-roberta-base,0.49784781164613146,-0.005221932114882507
rai,28,xlm-roberta-large,0.47495250740432404,-0.01127554615926709
welfare,9,EmbeddingGemma-Scandi-300m,0.8280210570771346,0.6026755852842809
welfare,9,LaBSE,0.8400884165687756,0.674743502942555
welfare,9,M2V_base_glove,0.5276478842608345,0.1078016084120824
welfare,9,M2V_base_glove_subword,0.6896613411132867,0.29169704702880056
welfare,9,M2V_base_output,0.6201970417929974,0.17459005285269005
welfare,9,Qwen3-Embedding-0.6B,0.6919769113714278,0.3273866923818708
welfare,9,Qwen3-Embedding-Scandi-0.6B,0.766361696878396,0.44503375120540023
welfare,9,bge-m3,0.7437868935450093,0.39810467148781575
welfare,9,dfm-sentence-encoder-large,0.8409262117469696,0.6679404718504245
welfare,9,jaccard-binary,0.5075539222552728,0.07545894562420966
welfare,9,m2v-dfm-large,0.732041478623717,0.366923818707811
welfare,9,mmBERTscandi-base-embedding,0.7663616968783957,0.44503375120540023
welfare,9,model2vecdk,0.7554717162493869,0.42768605801781157
welfare,9,model2vecdk-stem,0.7806432915694286,0.4595571854542962
welfare,9,multilingual-e5-base,0.7692338713772009,0.4257473481195757
welfare,9,multilingual-e5-large,0.7699429218334323,0.4798187594396125
welfare,9,multilingual-e5-large-instruct,0.8314109067155464,0.582462213387257
welfare,9,multilingual-e5-small,0.7291693041249119,0.3862102217936355
welfare,9,mxbai-embed-large-v1,0.5418035871660751,0.0514426331961877
welfare,9,nb-sbert-base,0.756090381470648,0.49209200909035067
welfare,9,paraphrase-multilingual-MiniLM-L12-v2,0.8814858996961392,0.7132701421800948
welfare,9,paraphrase-multilingual-mpnet-base-v2,0.7806432915694286,0.4595571854542962
welfare,9,potion-base-2M,0.7240746872459745,0.4112397256942756
welfare,9,potion-base-4M,0.725610083719044,0.4027870680044593
welfare,9,potion-base-8M,0.725610083719044,0.4027870680044593
welfare,9,potion-multilingual-128M,0.7806432915694286,0.4595571854542962
welfare,9,snowflake-arctic-embed-l-v2.0,0.8314109067155464,0.582462213387257
welfare,9,static-similarity-mrl-multilingual-v1,0.5988832010330571,0.15528837295006448
welfare,9,text-embedding-3-large,0.8314109067155464,0.582462213387257
welfare,9,text-embedding-3-small,0.8314109067155464,0.582462213387257
welfare,9,text-embedding-ada-002,0.8314109067155464,0.582462213387257
welfare,9,tfidf-char35,0.8314109067155464,0.582462213387257
welfare,9,xlm-roberta-base,0.7384454696989552,0.46542691781250217
welfare,9,xlm-roberta-large,0.6532800892035863,0.2746541166503666
welfare,5,EmbeddingGemma-Scandi-300m,0.771127828543803,0.4370785208969673
welfare,5,LaBSE,0.7627790255905433,0.4942682264527587
welfare,5,M2V_base_glove,0.4668215226660528,-0.008980546754108027
welfare,5,M2V_base_glove_subword,0.4750885995288092,0.011974062338810699
welfare,5,M2V_base_output,0.4572878201833077,-0.02951905829787379
welfare,5,Qwen3-Embedding-0.6B,0.48035869312520807,-0.02724508187619056
welfare,5,Qwen3-Embedding-Scandi-0.6B,0.6484772560352539,0.18557213661361377
welfare,5,bge-m3,0.7527060765832148,0.45177530860573323
welfare,5,dfm-sentence-encoder-large,0.63396575980601,0.2511071658926033
welfare,5,jaccard-binary,0.447442354279979,-0.009173973914965737
welfare,5,m2v-dfm-large,0.6214820768953035,0.14563299625606338
welfare,5,mmBERTscandi-base-embedding,0.5741202435137818,0.07490426823573362
welfare,5,model2vecdk,0.6934279311630329,0.29413054200690525
welfare,5,model2vecdk-stem,0.6214820768953037,0.14563299625606338
welfare,5,multilingual-e5-base,0.6714726537531134,0.25384197625093574
welfare,5,multilingual-e5-large,0.6490512888999159,0.18161495590093008
welfare,5,multilingual-e5-large-instruct,0.7627790255905433,0.4942682264527587
