dataset,seed,model,v_measure,adjusted_rand_index
rai,3,EmbeddingGemma-Scandi-300m,0.736660299578302,0.3462009122260541
rai,3,LaBSE,0.5371375957825532,0.04130434782608696
rai,3,M2V_base_glove,0.19544397904744268,0.006172839506172839
rai,3,M2V_base_glove_subword,0.16764410465063226,-0.024691358024691357
rai,3,M2V_base_output,0.16764410465063226,-0.024691358024691357
rai,3,Qwen3-Embedding-0.6B,0.7327080486287871,0.30857434068034145
rai,3,Qwen3-Embedding-Scandi-0.6B,0.16764410465063226,-0.024691358024691357
rai,3,bge-m3,0.6819637882625444,0.2728260869565218
rai,3,dfm-sentence-encoder-large,0.16764410465063226,-0.024691358024691357
rai,3,jaccard-binary,0.19544397904744268,0.006172839506172839
rai,3,m2v-dfm-large,0.38757444331760454,0.0694061045823803
rai,3,mmBERTscandi-base-embedding,0.16764410465063226,-0.024691358024691357
rai,3,model2vecdk,0.3970806361801737,-0.026768313653559556
rai,3,model2vecdk-stem,0.18878508678887868,-0.03984935720482688
rai,3,multilingual-e5-base,0.5799372888956771,0.08855267549226832
rai,3,multilingual-e5-large,0.1536142700669471,-0.0790164717116257
rai,3,multilingual-e5-large-instruct,0.7816662564452677,0.43530982311714317
rai,3,multilingual-e5-small,0.6735958357876375,0.17766158638335744
rai,3,mxbai-embed-large-v1,0.6278121413600876,0.09339192346200913
rai,3,nb-sbert-base,0.5561784198714698,0.16372525276987346
rai,3,paraphrase-multilingual-MiniLM-L12-v2,0.19544397904744268,0.006172839506172839
rai,3,paraphrase-multilingual-mpnet-base-v2,0.6735958357876375,0.17766158638335744
rai,3,potion-base-2M,0.38757444331760454,0.0694061045823803
rai,3,potion-base-4M,0.16764410465063226,-0.024691358024691357
rai,3,potion-base-8M,0.16764410465063226,-0.024691358024691357
rai,3,potion-multilingual-128M,0.6576425346259048,0.23015873015873015
rai,3,snowflake-arctic-embed-l-v2.0,0.6819637882625444,0.2728260869565218
rai,3,static-similarity-mrl-multilingual-v1,0.16764410465063226,-0.024691358024691357
rai,3,text-embedding-3-large,0.6105155842636645,0.1468253968253968
rai,3,text-embedding-3-small,0.7226534355415245,0.1879310344827586
rai,3,text-embedding-ada-002,0.1536142700669471,-0.0790164717116257
rai,3,tfidf-char35,0.784003189378039,0.3559599263954202
rai,3,xlm-roberta-base,0.16764410465063226,-0.024691358024691357
rai,3,xlm-roberta-large,0.18878508678887868,-0.03984935720482688
rai,1,EmbeddingGemma-Scandi-300m,0.266196006173815,0.013442988850676364
rai,1,LaBSE,0.40221632198552193,0.03510404906211075
rai,1,M2V_base_glove,0.13232160096018097,-0.03573566159334205
rai,1,M2V_base_glove_subword,0.13911476891565994,0.001976284584980237
rai,1,M2V_base_output,0.21501696538427373,-0.03218653656906926
rai,1,Qwen3-Embedding-0.6B,0.5874883981023693,0.1954981460067674
rai,1,Qwen3-Embedding-Scandi-0.6B,0.16467827933500112,-0.03673824698342225
rai,1,bge-m3,0.16467827933500112,-0.03673824698342225
rai,1,dfm-sentence-encoder-large,0.16467827933500112,-0.03673824698342225
rai,1,jaccard-binary,0.38356667306999537,0.0945203886977827
rai,1,m2v-dfm-large,0.3089281439521262,0.07242080364495686
rai,1,mmBERTscandi-base-embedding,0.16467827933500112,-0.03673824698342225
rai,1,model2vecdk,0.266196006173815,0.013442988850676364
rai,1,model2vecdk-stem,0.4358362420760291,0.12044662248942861
rai,1,multilingual-e5-base,0.266196006173815,0.013442988850676364
rai,1,multilingual-e5-large,0.40221632198552193,0.03510404906211075
rai,1,multilingual-e5-large-instruct,0.266196006173815,0.013442988850676364
rai,1,multilingual-e5-small,0.2986473742877405,-0.012764394564294616
rai,1,mxbai-embed-large-v1,0.3870797626337904,-0.002635248232190991
rai,1,nb-sbert-base,0.6494483113320478,0.2063422933149476
rai,1,paraphrase-multilingual-MiniLM-L12-v2,0.2794841785262317,0.035488985463138674
rai,1,paraphrase-multilingual-mpnet-base-v2,0.6085245157209599,0.21880138375233307
rai,1,potion-base-2M,0.13232160096018097,-0.03573566159334205
rai,1,potion-base-4M,0.13232160096018097,-0.03573566159334205
rai,1,potion-base-8M,0.13232160096018097,-0.03573566159334205
rai,1,potion-multilingual-128M,0.26721316995670524,0.03652050432653983
rai,1,snowflake-arctic-embed-l-v2.0,0.3851017881251324,0.032097778059325656
rai,1,static-similarity-mrl-multilingual-v1,0.3010247188637725,0.0333721580489718
rai,1,text-embedding-3-large,0.45658284513543357,0.10071490012902709
rai,1,text-embedding-3-small,0.2909986497425995,0.06589736977823621
rai,1,text-embedding-ada-002,0.2220120939183273,-0.002635248232190991
rai,1,tfidf-char35,0.6614041346471021,0.24391553328561205
rai,1,xlm-roberta-base,0.266196006173815,0.013442988850676364
rai,1,xlm-roberta-large,0.16467827933500112,-0.03673824698342225
rai,5,EmbeddingGemma-Scandi-300m,0.679883906799087,0.29117005203961727
rai,5,LaBSE,0.6575431968884377,0.30609328309731065
rai,5,M2V_base_glove,0.14784980963290087,0.013104598056519817
rai,5,M2V_base_glove_subword,0.14784980963290087,0.013104598056519817
rai,5,M2V_base_output,0.14784980963290087,0.013104598056519817
rai,5,Qwen3-Embedding-0.6B,0.23432049976903357,0.022516656151733684
