model,dataset,demographics,iteration,auc
potion-base-8M,rai,Mand,1,0.1562558026048918
Qwen3-Embedding-0.6B,welfare,1,5,0.3315646941860435
M2V_base_glove_subword,rai,Mand,2,0.14628599152394337
Qwen3-Embedding-Scandi-0.6B,rai,Unknown,8,0.38895724626841466
text-embedding-3-small,rai,Mand,7,0.2981571246982124
xlm-roberta-large,welfare,2,1,0.07431571741338151
text-embedding-ada-002,rai,Mand,9,0.3269618636118062
Qwen3-Embedding-Scandi-0.6B,welfare,1,8,0.3562579457249479
potion-base-2M,welfare,4,8,0.21515429584009216
multilingual-e5-base,welfare,11,5,0.35499703068835564
LaBSE,welfare,3,7,0.4528488670555776
M2V_base_glove_subword,welfare,3,0,0.2014657808224351
EmbeddingGemma-Scandi-300m,welfare,2,5,0.4574040969381722
Qwen3-Embedding-Scandi-0.6B,rai,Kvinde,9,0.28730011184378396
Qwen3-Embedding-0.6B,rai,Mand,1,0.1499841928086033
nb-sbert-base,welfare,1,6,0.5197365020743409
potion-multilingual-128M,rai,Unknown,5,0.2725286711846468
paraphrase-multilingual-mpnet-base-v2,welfare,4,0,0.5310226743529927
dfm-sentence-encoder-large,welfare,11,2,0.33685987825693814
multilingual-e5-base,rai,Unknown,2,0.3707517010692719
potion-base-4M,rai,Mand,8,0.1453647783956876
mxbai-embed-large-v1,welfare,1,7,0.23949063582528451
static-similarity-mrl-multilingual-v1,welfare,2,1,0.30833045581288354
M2V_base_glove_subword,welfare,4,0,0.25528816606465826
multilingual-e5-large,welfare,4,2,0.40874463119581245
xlm-roberta-large,welfare,2,2,0.0766635132246014
xlm-roberta-large,welfare,11,3,0.12699875075878164
Qwen3-Embedding-0.6B,welfare,11,9,0.28833859642106074
mmBERTscandi-base-embedding,welfare,2,2,0.34245090734296296
xlm-roberta-large,welfare,1,6,0.13824161135866017
static-similarity-mrl-multilingual-v1,rai,Kvinde,1,0.21075260751748565
text-embedding-3-small,rai,Unknown,0,0.36114376917698476
M2V_base_output,rai,Unknown,5,0.12222516840285219
Qwen3-Embedding-0.6B,rai,Mand,9,0.14908606345002176
bge-m3,rai,Unknown,6,0.36049603745902703
mxbai-embed-large-v1,rai,Mand,0,0.2077691721454972
paraphrase-multilingual-mpnet-base-v2,rai,Mand,7,0.3828113650832409
M2V_base_glove,welfare,11,0,0.023734417860480098
model2vecdk-stem,rai,Kvinde,7,0.29063985728075187
m2v-dfm-large,welfare,4,7,0.3612998183126774
snowflake-arctic-embed-l-v2.0,rai,Unknown,9,0.40622346565024325
EmbeddingGemma-Scandi-300m,welfare,1,5,0.48817838091792853
EmbeddingGemma-Scandi-300m,welfare,1,1,0.48577561730873026
potion-base-2M,rai,Unknown,7,0.09389693347877125
potion-base-4M,welfare,3,3,0.200359245897926
multilingual-e5-large-instruct,rai,Unknown,6,0.4663501162868423
model2vecdk-stem,welfare,1,2,0.33438233795425915
multilingual-e5-small,rai,Kvinde,3,0.28106957420523704
M2V_base_glove_subword,welfare,2,7,0.15640003041174713
text-embedding-3-large,rai,Unknown,9,0.44966193577542035
Qwen3-Embedding-0.6B,welfare,11,8,0.29179344605547225
Qwen3-Embedding-Scandi-0.6B,rai,Kvinde,7,0.2847640048425322
multilingual-e5-base,welfare,4,6,0.34650280263915395
Qwen3-Embedding-Scandi-0.6B,rai,Kvinde,2,0.2884858448907248
text-embedding-3-large,welfare,1,0,0.510188380460315
M2V_base_glove,welfare,11,2,0.020916030031129178
M2V_base_output,welfare,2,2,0.15422810120409794
mxbai-embed-large-v1,welfare,1,8,0.2319956370868689
m2v-dfm-large,welfare,1,6,0.417953950298269
M2V_base_glove_subword,welfare,4,6,0.25290087998776856
M2V_base_glove_subword,welfare,11,5,0.23021085055484988
mxbai-embed-large-v1,welfare,11,5,0.22179180126107995
multilingual-e5-small,welfare,3,5,0.3576711423161868
xlm-roberta-base,rai,Mand,6,0.15059792297026744
dfm-sentence-encoder-large,welfare,1,8,0.33876972646849013
Qwen3-Embedding-0.6B,rai,Kvinde,7,0.1676019537153315
mmBERTscandi-base-embedding,welfare,11,1,0.3671368039257228
mxbai-embed-large-v1,welfare,3,3,0.1908892680922395
EmbeddingGemma-Scandi-300m,welfare,3,2,0.5182665703372583
LaBSE,welfare,11,3,0.43993781139345245
bge-m3,rai,Kvinde,0,0.34079776803238526
model2vecdk,welfare,3,8,0.38127042458232646
model2vecdk,rai,Mand,3,0.27807207934792716
model2vecdk-stem,welfare,4,1,0.3177892868193544
M2V_base_output,rai,Mand,3,0.14578488847976986
mmBERTscandi-base-embedding,rai,Unknown,3,0.36940987426992256
M2V_base_glove,welfare,3,7,-0.018288542241023557
