model,dataset,demographics,iteration,auc
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,1,5,0.4539876618834954
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-rai,rai,Kvinde,8,0.24411024841969298
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,11,0,0.3331109669470817
multilingual-e5-large-instruct__prompt-grouping,rai,Kvinde,6,0.3727790127771615
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,1,6,0.44273605078089606
Qwen3-Embedding-0.6B__prompt-topic,welfare,4,7,0.24439558954932297
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Kvinde,1,0.2473027006424273
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,3,8,0.28211349656670415
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Mand,2,0.09700139858536297
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,1,7,0.3773886546379787
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,11,3,0.37946897067788815
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,1,7,0.22413204958100116
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,4,1,0.2704540034782143
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Mand,2,0.16845641873593845
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,3,4,0.19673831701324146
Qwen3-Embedding-0.6B__prompt-topic,rai,Kvinde,5,0.1726995310406549
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-rai,rai,Mand,6,0.24541732957894563
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,2,3,0.3108978800266307
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,4,9,0.4268717535142189
Qwen3-Embedding-0.6B__prompt-meaning,welfare,3,0,0.22774946291111012
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,1,8,0.3854937710379996
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,2,5,0.33463219579042464
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,11,5,0.37135965002610644
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,2,3,0.30211705366850516
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,11,8,0.4032750806858295
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,3,2,0.36582065990427654
Qwen3-Embedding-0.6B__prompt-cluster,rai,Kvinde,6,0.15292993279477468
Qwen3-Embedding-0.6B__prompt-topic__ctx-rai,rai,Mand,7,0.14641686456682212
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,4,4,0.28876227272715294
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Kvinde,9,0.20164281748967072
Qwen3-Embedding-0.6B__prompt-cluster,welfare,4,0,0.17490167926897754
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Mand,3,0.24788324633578432
Qwen3-Embedding-0.6B__prompt-grouping,rai,Mand,9,0.12311974979366869
Qwen3-Embedding-0.6B__prompt-similarity,welfare,3,5,0.2010501613780457
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,1,2,0.3244087198701538
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Unknown,1,0.2534336964652628
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,2,0,0.2853589826912675
multilingual-e5-large-instruct__prompt-topic,rai,Unknown,5,0.41854764408489814
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,2,8,0.21432680765618758
Qwen3-Embedding-0.6B__prompt-grouping__ctx-rai,rai,Kvinde,2,0.11180238289470049
multilingual-e5-large-instruct__prompt-cluster,rai,Unknown,4,0.40669934988285994
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Kvinde,7,0.1318952284701694
multilingual-e5-large-instruct__prompt-cluster,welfare,4,5,0.40183804426420033
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,2,5,0.2666735225982092
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,4,8,0.33794085845890465
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,11,7,0.326651083083045
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,4,1,0.38992119213912724
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Kvinde,5,0.19013650369047136
multilingual-e5-large-instruct__prompt-grouping__ctx-rai,rai,Mand,1,0.3374966296765261
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,11,6,0.3743043365926419
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-rai,rai,Mand,1,0.22394632941420817
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,3,9,0.36490104718647726
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Kvinde,1,0.23229946964984663
multilingual-e5-large-instruct__prompt-cluster__ctx-rai,rai,Mand,0,0.3339681165115716
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-welfare,welfare,3,1,0.20196851958471032
multilingual-e5-large-instruct__prompt-topic__ctx-rai,rai,Mand,8,0.3799677326725251
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Kvinde,5,0.23853589391948635
multilingual-e5-large-instruct__prompt-cluster,welfare,3,2,0.4603604840628453
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-rai,rai,Kvinde,3,0.21200399074076087
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,4,5,0.16460389645120813
Qwen3-Embedding-0.6B__prompt-topic,welfare,11,7,0.33374905577987174
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,11,0,0.3620703157000654
Qwen3-Embedding-0.6B__prompt-similarity,welfare,11,9,0.2923478984314145
multilingual-e5-large-instruct__prompt-cluster,welfare,1,9,0.5136217232115698
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,3,0,0.3793080029996462
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Mand,2,0.2255239470786094
Qwen3-Embedding-0.6B__prompt-topic,rai,Kvinde,8,0.18029644271248244
multilingual-e5-large-instruct__prompt-cluster,rai,Kvinde,8,0.3797484757894788
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,4,1,0.26690035810494767
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-rai,rai,Kvinde,5,0.24466660099841092
Qwen3-Embedding-Scandi-0.6B__prompt-topic,rai,Kvinde,8,0.19739164261351635
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,4,1,0.2171658156487624
