model,dataset,difficulty,statistic,auc_mean,ci_lo,ci_hi
potion-base-8M,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.25029932100321794,0.2138088473951688,0.28709605218702594
paraphrase-multilingual-mpnet-base-v2,welfare,Hard ($r_i(t)$: bottom 20%),Best,0.035082221747651056,0.023626688716421575,0.050346178362408414
paraphrase-multilingual-mpnet-base-v2,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.022030106411775913,0.007950553342742523,0.03749235162926437
Qwen3-Embedding-Scandi-0.6B,rai,Easy ($r_i(t)$: top 20%),Mean,0.3092526388251075,0.27936797865972773,0.333822426105902
M2V_base_output,rai,Hard ($r_i(t)$: bottom 20%),Best,0.04753991866538599,0.02141324788397602,0.08381701828514918
human-mds-oracle,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.6661046452325281,0.6412976328693535,0.6941828173359241
potion-base-2M,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.2372153401777999,0.2001667033846632,0.28047579960864016
mmBERTscandi-base-embedding,gov-ai,Hard ($r_i(t)$: bottom 20%),Worst,0.03325177965488651,0.015892364480141162,0.0504110694012262
nb-sbert-base,rai,Easy ($r_i(t)$: top 20%),Best,0.36830183724700427,0.3479092317172294,0.38504284355768403
potion-base-4M,rai,Hard ($r_i(t)$: bottom 20%),Mean,0.021891758162192097,0.008768654049515661,0.03394017656239312
jaccard-binary,rai,Easy ($r_i(t)$: top 20%),Best,0.014155324124303273,-0.009268363061923787,0.08383006795835729
model2vecdk-stem,welfare,Easy ($r_i(t)$: top 20%),Worst,0.2741410485654276,0.2429805682231595,0.2989692452063203
Qwen3-Embedding-Scandi-0.6B,welfare,Easy ($r_i(t)$: top 20%),Best,0.3483417690511353,0.3112285973309431,0.3856138245325758
Human,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.72316283879987,0.5321132678228442,0.8432226188481223
potion-multilingual-128M,rai,Easy ($r_i(t)$: top 20%),Mean,0.2699894744535169,0.23018811526521807,0.31169495471589326
dfm-sentence-encoder-large,welfare,Hard ($r_i(t)$: bottom 20%),Best,0.041516324897371074,0.0340252443066389,0.05043508958270868
snowflake-arctic-embed-l-v2.0,welfare,Easy ($r_i(t)$: top 20%),Mean,0.463554691323129,0.4315736319513018,0.4929386399331122
m2v-dfm-large,welfare,Hard ($r_i(t)$: bottom 20%),Worst,0.01681108337748962,0.003694485753045562,0.029388042256803477
multilingual-e5-large-instruct,gov-ai,Hard ($r_i(t)$: bottom 20%),Worst,0.027000512989482365,0.012935494567653343,0.037718901406800856
multilingual-e5-base,rai,Hard ($r_i(t)$: bottom 20%),Best,0.01784783037947482,0.009252907298055706,0.02973238230466659
multilingual-e5-base,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.01735175177199356,0.002631688940189114,0.03290561064937921
multilingual-e5-small,welfare,Easy ($r_i(t)$: top 20%),Mean,0.3529753958719825,0.31942442821538186,0.38253094840612734
dfm-sentence-encoder-large,welfare,Easy ($r_i(t)$: top 20%),Worst,0.3017963448097939,0.27510359464678236,0.3344168833467166
Qwen3-Embedding-Scandi-0.6B,welfare,Easy ($r_i(t)$: top 20%),Mean,0.301904562765433,0.2777766935352852,0.324531692633605
model2vecdk-stem,gov-ai,Easy ($r_i(t)$: top 20%),Mean,0.1898152164501805,0.1624180790355876,0.2187824800370163
snowflake-arctic-embed-l-v2.0,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.014765379323720556,-0.003859782790258931,0.026851540503054543
M2V_base_output,welfare,Easy ($r_i(t)$: top 20%),Mean,0.20844891101912466,0.16303169467405781,0.256813136959946
LaBSE,rai,Hard ($r_i(t)$: bottom 20%),Worst,0.013130371248239117,0.005980438201625471,0.019748017805425837
potion-multilingual-128M,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.2358506468282208,0.20017823365008094,0.2799786183132583
multilingual-e5-small,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.018806024315374904,0.007051376160719774,0.029171251490750404
Qwen3-Embedding-Scandi-0.6B,gov-ai,Hard ($r_i(t)$: bottom 20%),Worst,0.031011853893432334,0.01934562960096984,0.039130070304919995
potion-base-2M,welfare,Hard ($r_i(t)$: bottom 20%),Best,0.041222691992112044,0.028719098709516656,0.055810035219661346
EmbeddingGemma-Scandi-300m,rai,Hard ($r_i(t)$: bottom 20%),Best,0.025898397592226764,0.010338756028234392,0.060642531931443186
multilingual-e5-small,welfare,Hard ($r_i(t)$: bottom 20%),Worst,-0.01507298022824093,-0.029400453917171686,-0.0008247767026914122
M2V_base_glove_subword,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.006966961578984654,-0.007155075584066644,0.02449307801084974
M2V_base_output,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,-0.002849938837338413,-0.015511391704716142,0.009827128807989602
mxbai-embed-large-v1,rai,Hard ($r_i(t)$: bottom 20%),Mean,0.03259972352060161,0.019979932824526387,0.04703716462470883
xlm-roberta-large,rai,Easy ($r_i(t)$: top 20%),Best,0.16982064900628907,0.11997748493189286,0.23865835254184095
text-embedding-3-small,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.022253983193884514,0.012064668276620649,0.029945362643665128
mmBERTscandi-base-embedding,welfare,Hard ($r_i(t)$: bottom 20%),Worst,0.01028144778123579,-0.008832249412007656,0.019976074271731953
multilingual-e5-large-instruct,welfare,Easy ($r_i(t)$: top 20%),Worst,0.44658356648554964,0.4258376668074053,0.4674473978837561
potion-base-2M,rai,Hard ($r_i(t)$: bottom 20%),Worst,0.012521309040333457,0.0011907896469101125,0.017878908748127458
M2V_base_glove_subword,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.006966961578984654,-0.007155075584066644,0.02449307801084974
tfidf-char35,rai,Hard ($r_i(t)$: bottom 20%),Best,0.03250515389438962,0.00005280789308813078,0.058920350672802296
text-embedding-3-small,rai,Easy ($r_i(t)$: top 20%),Mean,0.32554663601584594,0.2967656258334544,0.3500407623227104
text-embedding-ada-002,welfare,Easy ($r_i(t)$: top 20%),Worst,0.4038535158528795,0.3787975506650657,0.42831036308718407
m2v-dfm-large,gov-ai,Hard ($r_i(t)$: bottom 20%),Worst,0.006302397458072464,-0.006434931415816403,0.019975586116224877
multilingual-e5-large,welfare,Hard ($r_i(t)$: bottom 20%),Best,0.031083130008076883,0.01637977806381668,0.04731642750548989
tfidf-char35,rai,Easy ($r_i(t)$: top 20%),Worst,0.18087757591506148,0.13271494979687817,0.2293032258079035
nb-sbert-base,welfare,Easy ($r_i(t)$: top 20%),Best,0.5019084986826103,0.46653341483164656,0.5387424767029498
potion-base-8M,welfare,Easy ($r_i(t)$: top 20%),Worst,0.17522041436693775,0.11435917414122626,0.21729164462592532
mxbai-embed-large-v1,rai,Easy ($r_i(t)$: top 20%),Worst,0.18521414488073404,0.14220002458606257,0.22263244950728353
potion-base-4M,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.004990204581983546,-0.00560769486611061,0.021527524147089652
Qwen3-Embedding-0.6B,rai,Hard ($r_i(t)$: bottom 20%),Best,-0.001574068068379848,-0.006588020781970141,0.01012193401482646
EmbeddingGemma-Scandi-300m,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.024280675244924294,0.01526801157210275,0.03376687371712462
potion-base-2M,rai,Hard ($r_i(t)$: bottom 20%),Best,0.032302462272090514,0.016371134542218828,0.05450103854089003
text-embedding-3-large,rai,Easy ($r_i(t)$: top 20%),Best,0.43722223679238453,0.4109717458716799,0.47107038576621074
multilingual-e5-large,rai,Easy ($r_i(t)$: top 20%),Worst,0.29029870933666635,0.2744874671488681,0.30774880809494026
nb-sbert-base,rai,Hard ($r_i(t)$: bottom 20%),Mean,0.01429646893235964,0.0030731317595380676,0.028534967198711157
multilingual-e5-small,gov-ai,Easy ($r_i(t)$: top 20%),Mean,0.2771571992448281,0.2534211489403135,0.302790886390777
potion-base-8M,welfare,Hard ($r_i(t)$: bottom 20%),Best,0.03998448058265499,0.027513501705654773,0.05817607988198258
text-embedding-3-large,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.021778303579606497,0.009467378489318922,0.03438009202855452
potion-base-2M,rai,Easy ($r_i(t)$: top 20%),Worst,0.10733062591124101,0.059230491311330444,0.13828654332956528
model2vecdk,welfare,Easy ($r_i(t)$: top 20%),Mean,0.37854353863646556,0.34512635268853636,0.4131317780455307
M2V_base_glove,rai,Hard ($r_i(t)$: bottom 20%),Mean,-0.050664331506164596,-0.06066345694646472,-0.03628695011478657
text-embedding-ada-002,rai,Hard ($r_i(t)$: bottom 20%),Mean,0.011674752862075928,0.001740125802557651,0.022864716561328716
human-mds-oracle,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.0934266975533146,0.07997710162237981,0.1090812143707532
xlm-roberta-base,gov-ai,Easy ($r_i(t)$: top 20%),Mean,0.17047686328443024,0.15760102776241122,0.1894907387456718
tfidf-char35,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,-0.0024959238857028775,-0.01585804457242925,0.007079016451577638
bge-m3,welfare,Hard ($r_i(t)$: bottom 20%),Best,0.027941591275129404,0.01656650687934032,0.03868990537861983
bge-m3,gov-ai,Hard ($r_i(t)$: bottom 20%),Worst,0.010348087492274522,-0.004676002150263555,0.021100727531460868
Qwen3-Embedding-0.6B,rai,Easy ($r_i(t)$: top 20%),Worst,0.13987093212833826,0.11901301029739723,0.15934401900495573
xlm-roberta-base,rai,Easy ($r_i(t)$: top 20%),Mean,0.18324079492811404,0.16305248823873028,0.20462856222783
xlm-roberta-base,welfare,Easy ($r_i(t)$: top 20%),Best,0.11970048572340726,0.09728510868915455,0.1477307738930821
jaccard-binary,welfare,Easy ($r_i(t)$: top 20%),Mean,-0.14887393590616166,-0.1789761083509922,-0.12624343210524633
potion-multilingual-128M,rai,Hard ($r_i(t)$: bottom 20%),Best,0.0439013627670994,0.020919673219581592,0.07739819130972367
text-embedding-3-small,rai,Easy ($r_i(t)$: top 20%),Best,0.3563091878194568,0.3205824706233342,0.41512168743240446
potion-multilingual-128M,welfare,Easy ($r_i(t)$: top 20%),Best,0.4378039572014261,0.38908654003772114,0.4860192638096603
snowflake-arctic-embed-l-v2.0,welfare,Hard ($r_i(t)$: bottom 20%),Worst,-0.005158109970879439,-0.022359800850158262,0.012325019386665166
Human,welfare,Hard ($r_i(t)$: bottom 20%),Worst,0.2654487614086494,0.12752248761179258,0.3729505329641635
paraphrase-multilingual-MiniLM-L12-v2,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.018250761695106067,0.009811055361815204,0.025905983277496117
paraphrase-multilingual-MiniLM-L12-v2,rai,Hard ($r_i(t)$: bottom 20%),Best,0.04522193960505148,0.018473217193096737,0.08322467088925178
mmBERTscandi-base-embedding,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.03325177965488651,0.015892364480141162,0.0504110694012262
static-similarity-mrl-multilingual-v1,gov-ai,Hard ($r_i(t)$: bottom 20%),Worst,-0.00684640099295295,-0.01732791111968952,0.004675066625431651
Qwen3-Embedding-Scandi-0.6B,gov-ai,Easy ($r_i(t)$: top 20%),Mean,0.3387647027512768,0.28053269164222794,0.39336194391941975
multilingual-e5-large,gov-ai,Easy ($r_i(t)$: top 20%),Worst,0.23722097161860942,0.2135514701870969,0.2623889138911347
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.009202911230325858,-0.0033332225497645774,0.021810509261110337
EmbeddingGemma-Scandi-300m,rai,Hard ($r_i(t)$: bottom 20%),Mean,0.012053520960077313,-0.00142537735791138,0.026286713374663987
tfidf-char35,rai,Easy ($r_i(t)$: top 20%),Mean,0.23113738395331684,0.1832958303885516,0.28049363773078106
text-embedding-3-small,rai,Hard ($r_i(t)$: bottom 20%),Best,0.035236722944279986,0.016665892995194793,0.08570754960327687
multilingual-e5-large-instruct,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.33684716321291014,0.2982402385871546,0.3757640014080072
paraphrase-multilingual-mpnet-base-v2,gov-ai,Easy ($r_i(t)$: top 20%),Mean,0.346398207012001,0.3111161269858697,0.39023374427994534
text-embedding-3-small,rai,Easy ($r_i(t)$: top 20%),Worst,0.29613796909266726,0.268466483537007,0.32053148366742024
model2vecdk-stem,rai,Hard ($r_i(t)$: bottom 20%),Best,0.049029352564078914,0.015351690369285593,0.08404292593973674
M2V_base_glove,rai,Easy ($r_i(t)$: top 20%),Best,0.08545893309492902,0.06319866647777653,0.10790227752693912
nb-sbert-base,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.01579365677959272,0.005894415663228852,0.02536523601508092
Qwen3-Embedding-Scandi-0.6B,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.031011853893432334,0.01934562960096984,0.039130070304919995
xlm-roberta-large,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.1886353706822062,0.17107524452550427,0.20440390405000966
multilingual-e5-large,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.009090521673322367,-0.006678405163505249,0.026739900898380117
human-mds-oracle,gov-ai,Easy ($r_i(t)$: top 20%),Worst,0.6661046452325281,0.6412976328693535,0.6941828173359241
Qwen3-Embedding-Scandi-0.6B,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.3387647027512768,0.28053269164222794,0.39336194391941975
paraphrase-multilingual-mpnet-base-v2,rai,Easy ($r_i(t)$: top 20%),Best,0.42335854885111507,0.3960535583049384,0.46138999331706493
model2vecdk-stem,gov-ai,Easy ($r_i(t)$: top 20%),Worst,0.1898152164501805,0.1624180790355876,0.2187824800370163
M2V_base_glove_subword,gov-ai,Easy ($r_i(t)$: top 20%),Mean,0.21213474691001755,0.17676102420273102,0.2483801237980804
model2vecdk-stem,gov-ai,Hard ($r_i(t)$: bottom 20%),Worst,0.011919534358067212,0.0035739300522361407,0.02284726041571579
model2vecdk,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.027103424641922752,0.02020151590345387,0.034201450751301404
multilingual-e5-small,rai,Easy ($r_i(t)$: top 20%),Mean,0.2847005769001986,0.26499080330906927,0.3034565910935268
static-similarity-mrl-multilingual-v1,welfare,Hard ($r_i(t)$: bottom 20%),Worst,-0.0034527592855901836,-0.01889438652137314,0.010424682056023484
potion-multilingual-128M,rai,Easy ($r_i(t)$: top 20%),Best,0.29375287034989983,0.2521910619738864,0.36955839698035287
multilingual-e5-large-instruct,rai,Hard ($r_i(t)$: bottom 20%),Mean,0.02116604158415194,0.006730459189193859,0.03484511612838131
M2V_base_glove,gov-ai,Easy ($r_i(t)$: top 20%),Worst,0.21150789202625014,0.1628101902698057,0.2603997112063809
text-embedding-3-small,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.022253983193884514,0.012064668276620649,0.029945362643665128
xlm-roberta-large,rai,Easy ($r_i(t)$: top 20%),Mean,0.14562150284454545,0.11863082079927051,0.16824187293878537
potion-multilingual-128M,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,-0.000514082861857661,-0.011248947655128027,0.011349063146151726
jaccard-binary,welfare,Hard ($r_i(t)$: bottom 20%),Mean,-0.3121884271047237,-0.36276260887209016,-0.26861667998538435
M2V_base_output,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.21695852705054985,0.18517618543844785,0.2498744341593284
nb-sbert-base,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.01812722800371238,0.006412885172439785,0.02957204775397555
jaccard-binary,welfare,Hard ($r_i(t)$: bottom 20%),Best,-0.24324838849855976,-0.28555901974151765,-0.20368403591692666
text-embedding-ada-002,welfare,Hard ($r_i(t)$: bottom 20%),Worst,0.0021692311265972264,-0.008985049406447936,0.015193501306394035
paraphrase-multilingual-mpnet-base-v2,rai,Hard ($r_i(t)$: bottom 20%),Best,0.023751758956683054,0.011537254337042845,0.051936733665663835
xlm-roberta-large,rai,Easy ($r_i(t)$: top 20%),Worst,0.12903130346869301,0.11111233982533408,0.14469473443638264
multilingual-e5-large,welfare,Easy ($r_i(t)$: top 20%),Mean,0.41095382962004817,0.39503875349553874,0.43015353129186173
multilingual-e5-base,rai,Hard ($r_i(t)$: bottom 20%),Worst,-0.005910322276459723,-0.03519024439545943,0.018562061103267018
jaccard-binary,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.10616341751183449,0.08344530158417927,0.12885509471927303
multilingual-e5-small,rai,Hard ($r_i(t)$: bottom 20%),Best,0.021473400429375608,0.008981029551404757,0.0441325970214122
M2V_base_glove_subword,rai,Easy ($r_i(t)$: top 20%),Mean,0.13023605768296628,0.10556748912733234,0.14737521712447166
model2vecdk,gov-ai,Easy ($r_i(t)$: top 20%),Worst,0.181620206573589,0.14956076931959156,0.20993702859163932
xlm-roberta-large,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.0207385577528372,0.009051533727347563,0.03452368453112203
Qwen3-Embedding-0.6B,rai,Easy ($r_i(t)$: top 20%),Best,0.21549003904590758,0.17228511883660128,0.2736221766680258
multilingual-e5-large-instruct,rai,Easy ($r_i(t)$: top 20%),Best,0.4406050111514911,0.4152395273899033,0.46899727616020337
M2V_base_output,gov-ai,Easy ($r_i(t)$: top 20%),Worst,0.21695852705054985,0.18517618543844785,0.2498744341593284
bge-m3,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.012530658172820185,0.004556314722460129,0.02116706764813251
mmBERTscandi-base-embedding,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.03325177965488651,0.015892364480141162,0.0504110694012262
multilingual-e5-large,rai,Hard ($r_i(t)$: bottom 20%),Best,0.020833556597466732,0.00901929535433053,0.04133030929174862
