model,alignment_score
paraphrase-multilingual-MiniLM-L12-v2,0.4476923406613983
xlm-roberta-base,0.10830991401371046
M2V_base_glove,0.012774049814670849
m2v-dfm-large,0.36152616929379533
multilingual-e5-small,0.33787294417379077
Qwen3-Embedding-Scandi-0.6B,0.3095184562119254
model2vecdk-stem,0.3170622731620726
static-similarity-mrl-multilingual-v1,0.2878691519936207
paraphrase-multilingual-mpnet-base-v2,0.486989729188683
potion-base-4M,0.1766045678035932
M2V_base_glove_subword,0.17788513229314645
multilingual-e5-large-instruct,0.4744426076419644
snowflake-arctic-embed-l-v2.0,0.43514750674417985
EmbeddingGemma-Scandi-300m,0.443092081205745
multilingual-e5-large,0.3759336249010635
xlm-roberta-large,0.13492330503596822
mxbai-embed-large-v1,0.20626631611545393
Qwen3-Embedding-0.6B,0.23609964880368248
M2V_base_output,0.17732806848042884
model2vecdk,0.34566683183403174
bge-m3,0.40856414824444187
text-embedding-3-small,0.415020113949624
potion-multilingual-128M,0.34782208536763903
mmBERTscandi-base-embedding,0.349832221754637
text-embedding-3-large,0.4520738819226275
multilingual-e5-base,0.34883016774958436
text-embedding-ada-002,0.4150021893950061
LaBSE,0.39003002786515967
dfm-sentence-encoder-large,0.31969246431643283
nb-sbert-base,0.4399025347566405
potion-base-8M,0.1827590395206131
potion-base-2M,0.15937344309191878
